,date,time,location,operator,flight #,pathway,type,registration,cn/in,aboard,fatalities,ground,summary
3339,02/21/1982,15:33,"providence, rhode island",pilgrim airlines,458,new york city - bridgeport - new haven - groton - boston,de havilland dhc -6-100,n127pm,105,12.0,1,0.0,the aircraft made an emergency landing near a reservoir after a fire erupted in the cockpit while the aircraft was en-route under ifr conditions. the fire spread to the cabin and destroyed the aircraft after impact.  the deficient design of the isopropyl alcohol windshield washer/deicer system and the inadequate maintenance of the system which resulted in an in-flight fire. the ignition source was not determined.
3340,03/11/1982,13:26,"mehamn, norway",wideroe's flyveselksap,933,berlevag - mehamn,de havilland canada dhc-6 twin otter 300,ln-bnk,568,15.0,15,0.0,"the aircraft crashed while on a flight from berlevåg to mehamn after the failure of the tail fin and rudder in moderate turbulence.  overload due to a combination of clear air turbulence, mountain wave and the pilots spontaneous improper actions. there is some controversy surrounding this crash including the possiblity the aircraft was shot down by or collided with a british nato harrier jet fighter."
3341,06/24/1982,20:44,"mount galunggung, indonesia",british airways,009,kuala lampur - perth,boeing b-747,g-bdxh,21635/365,257.0,0,0.0,"the aircraft flew into a plume from a volcanieruption at 37,000 feet during the night. all engines failed and the windshield lost transparency because of pitting. the first engine was restarted at 12,000 feet, followed by the other three and the plane landed safely at jakarta. the aircraft was named 'city of edinburgh.'"
3342,06/28/1982,10:50,"southern belarus, ussr",aeroflot,8641,leningrad - kiev,yakovlev yak-42,cccp-45229,8040104,132.0,132,0.0,"from an altitude of 30,000 ft., a malfunction occurred causing the aircraft to crash 125 miles from its destination. in-flight failure and jamming of stabilizer screw-jack mechanism due to wear."
3349,04/26/1982,16:45,"near yangshuo, guangxi, china",caac,3303,guangzhou - guilin,hawker siddeley trident 2e,b-266,2170,112.0,112,0.0,the aircraft struck a mountain in heavy rain during a landing attempt.
3358,06/08/1982,02:25,"near pacatuba, brazil",vasp,168,rio de janerio - fortaleza,boeing b-727-212a,pp-srk,21347/1282,137.0,137,0.0,"the aircraft crashed into a 2,500 ft. mountain (serra da aratanha) during an approach in heavy rain and fog. despite two altitude alert system warnings and the co-pilot's warning of the mountains ahead, the captain continued to descend below the minimum descend altitude. non-observance of air traffiand carrier's procedures."
3363,07/09/1982,16:09,"kenner, louisiana",pan american world airways,759,new orleans - las vegas,boeing b-727-235,n4737,19457/518,145.0,145,8.0,"the aircraft crashed during a thunderstorm, 29 seconds after taking off from new orleans international airport. the plane reached an altitude of 95 to 150 feet and then began to descend and crashed into trees and houses bursting into flames. microbust induced windshear. limited capability of current ground-based low-level windshear detection technology. the aircraft was named 'clipper defiance.'"
3378,09/13/1982,12:00,"near malaga, spain",spantax,995,malaga - new york city,mcdonnell douglas dc-10-30cf,ec-deg,46962/238,394.0,50,0.0,the aircraft crashed during takeoff after intense vibration caused by a blown retreaded tire. the crew aborted the takeoff above vr and overran the runway. they also  failed to apply reverse thrust symmetrically.
3392,12/09/1982,13:27,"la serena, chile",aeronor chile,304,santiago - la serena,fairchild f-27j,cc-cje,0063,46.0,46,0.0,"while on approach, the aircraft suddenly banked to the left and went into a steep descent and crashed.  inadequate flight procedures by the pilot in command after experiencing a loss of power in the left engine.  inadequate flight planning by the pilot-in-command in coordinating the adoption of measures and applying procedures to successfully remedy a stall condition caused by total loss of power in the left engine when the aircraft was flying at low altitude on final approach to land."
3398,01/11/1983,02:50,"detroit, michigan",united air lines,2885,detroit - los angeles,mcdonnell douglas dc-8-54f37,n8053u,46010/406,3.0,3,0.0,"after taking off the cargo plane rolled to the right with wings vertical to the ground until it crashed into a field. the flight crew's failure to follow procedural checklist requirements and to detect and correct a mistrimmed stabilizer before the aircraft became uncontrollable. contributing to the accident was the captain allowing the second officer, who was not qualified to act as a pilot, to occupy the seat of the first officer and to conduct the take-off."
3409,04/07/1983,14:55,"selawik, alaska",munz northern airlines,601,nome - ambler,britten-norman bn-2a-8 islander,n37mn,558,3.0,2,0.0,lost control of the aircraft and crashed in a snow storm. continued vfr flight in ifr conditions.
3414,04/29/1983,15:10,"guayaquil, ecuador",san ecuador,832,guayaquil - quito,sud aviation se-210 caravelle vir,hc-bat,125,100.0,8,0.0,one of the aircraft's engines failed shortly after takeoff and the plane landed heavily on muddy ground and broke in three.
3417,05/05/1983,09:15,"en route miami, fl - nassau, bahamas",eastern air lines,855,"miami, fl - nassau, bahamas",lockheed l-1011,n334ea,1141,172.0,0,0.0,"procedural error by maintenance crew caused o-ring seal to be left off all three engines, causing all oil to leak out in flight. one engine shut down at first sign of trouble, followed by failure of other two engines. first engine restarted at an altitude of 3,000 feet and ran long enough to make a safe landing at miami 9 minutes later."
3419,06/02/1983,19:20,"cincinnati international airport, covington/hebron, kentucky",air canada,797,dallas-fort worth - toronto,mcdonnell douglas dc-9-32,c-ftlu,47196/278,46.0,23,0.0,"the plane was on a flight from houston to toronto with an intermediate stop at dallas - fort worth.  an in-flight fire in the rear lavatory, of unknown origin, forced the plane to make an emergency landing at cincinnati international airport. fatalities occurred from smoke inhalation and a flash fire that erupted when exit doors were opened. underestimation of the fire severity and conflicting fire progress reports to the captain delayed a quicker emergency landing. canadian folk singer stan rogers, 33,  killed. he was going home after attending the kerrville folk festival in texas. he died in the fire while helping other passengers to safety."
3428,07/23/1983,19:30,"gimli, manitoba, canada",air canada,143,ottawa - edmonton,boeing b-767-233er,c-gaun,22520/47,69.0,0,0.0,"the aircraft took off from ottawa bound for edmonton with less than half the fuel required to make the trip. a computer known as the 'fuel quantity information system processor'  was not working properly so the ground crew made manual calculations for the amount of needed fuel. however, they used pounds/liter for the specifigravity factor instead of kilograms/liter. this was first model of aircraft of air canada to use kilograms. the aircraft ran out of fuel at 41,000 feet. with only standby instruments (magneticompass, artificial horizon, airspeed indicator and altimeter) and no slats or flaps, the plane landed safely on a 7,200 ft. runway at gimli, a former air force base converted into a racing drag strip. the plane became known as the 'gimli glider.'  the tv movie falling from the sky: flight 174 was made about this incident in 1995."
3436,09/01/1983,18:26,"near sakhalin island, russia",korean airlines,007,anchorage - seoul,boeing b-747-230b,hl-7442,20559/186,269.0,269,0.0,"on a flight from alaska to south korea, the airliner drifted off course and twice penetrated soviet airspace.  during the second penetration, the airliner was shot down by a russian su-15 air force fighter with air-to-air missiles. the aircraft crashed into international waters in the sea of japan. u.s. representative from georgia lawrence mcdonald killed."
3439,09/23/1983,15:30,"near mina jebel ali, uae",gulf air,771,karachi - abu dhabi,boeing b-737-2p6,a40-bk,21734/566,112.0,112,0.0,crashed  into the desert after a distress message and during an emergency landing attempt. detonation of an explosive device in the baggage compartment.
3446,10/11/1983,20:53,"pinckneyville, illinois",air illinois,701,"springfield, il - carbondale, il",hawker siddeley hs-748-faa,n748ll,1716,10.0,10,0.0,"two minutes out of springfield, the left generator suffered a complete mechanical failure. the first officer mistakenly shut down the right generator and all attempts at bring it back to life failed. although the plane could be flown safely on batteries for about 30 minutes the captain decided to continue on towards carbondale, thirty-nine minutes away. the batteries lasted for thirty-one minutes. the aircraft lost all power, turned blindly 180 degrees and crashed in a rural area."
